people	need	line
person	remove	packaging
boy	ride	carts
man	play	game
people	shake	hands
people	ride	bikes
zebras	battle	other
bowl	have	meat
cops	ride	horses
zebra	rest	head
green	line	roadway
donkey	pull	cart
plate	hold	broccoli
signal	show	lights
he	perform	trick
someone	make	drink
that	sell	fruit
sign	say	drive
person	hold	bottle
woman	prepare	sandwich
chefs	prepare	meals
bird	put	beak
picks	rub	eye
that	include	raspberries
boy	swing	bat
children	make	pizzas
trucks	drive	street
who	wear	suits
athletes	perform	tricks
picture	show	side
woman	show	something
lone	stop	sign
it	have	blood
man	take	photograph
person	ride	surfboard
woman	carry	packages
man	ski	mountain
car	pass	elephant
people	have	fun
cream	theme	bathroom
woman	hold	bagel
person	hold	device
officer	lay	trap
that	hold	kite
surfer	ride	wave
woman	throw	disc
row	line	street
man	do	tricks
he	hold	piece
man	play	games
man	do	trick
person	perform	jump
man	hold	umbrella
man	swinge	bat
women	wash	motorcycles
man	play	game
people	play	game
person	cook	eggs
that	wipe	eye
that	have	zebra
giraffe	eat	leaves
herd	cover	piece
boy	bounce	ball
people	hold	kites
one	hold	luggage
man	serve	ball
he	ride	board
person	flush	toilet
man	hold	plate
bride	cut	cake
that	have	sign
cowboy	ride	horse
that	have	commandments
skateboarder	do	trick
airplane	leave	contrail
man	descend	mountain
that	have	bunch
man	ski	mountain
woman	purchase	food
man	stir	something
man	hit	ball
that	have	sign
surfer	killin	it
some	tree	people
that	fly	sand
oven	contain	dish
woman	watch	her
man	practice	tricks
train	make	way
man	ride	motorcycle
tray	have	pastry
girls	hold	doughnuts
man	wear	scissors
herd	block	road
woman	pat	elephant
puppy	pull	line
guy	wear	pants
that	press	heads
a	make	bed
bathroom	have	sink
that	have	vase
man	fly	kite
couple	cut	cake
man	swinge	racket
laptop	have	player
hand	flush	toilet
guy	pedal	bike
man	pull	elephant
all	hold	umbrellas
guy	sit	table
men	herd	pack
woman	hug	mouse
women	eat	dogs
sign	have	bear
baskets	display	carrots
player	swinge	bat
motorcycles	park	trees
man	surf	wave
grazes	notice	photographer
man	operate	laptop
trees	banana	dirt
guy	take	aim
that	include	corn
man	take	picture
group	have	meal
that	hold	tray
person	ski	slope
i	love	way
hands	toast	glasses
group	hold	animals
man	wear	tie
woman	show	slice
group	play	ball
man	poke	head
man	present	cake
person	make	sandwich
vase	have	rose
man	balance	himself
girls	hold	donuts
car	pass	it
elephant	hold	leaves
people	enjoy	games
player	hit	ball
court	have	people
man	throw	ball
man	ski	turn
man	perform	tricks
people	have	fun
man	hit	baseball
cat	wear	hat
vendors	show	selection
that	have	leash
that	do	trick
that	have	lane
woman	play	tennis
room	paint	color
man	surf	wave
cake	await	guests
person	take	picture
woman	play	tennis
man	walk	dog
cat	perch	itself
girl	play	game
cow	have	face
people	play	game
which	have	something
people	ride	bikes
woman	walk	water
slab	hold	fruit
wood	panel	walls
pitcher	throw	ball
that	have	couches
people	load	horse
someone	open	product
that	have	bananas
that	have	products
swan	have	grasses
pedestrians	pass	light
it	cross	plate
diners	enjoy	sandwiches
that	have	fruit
hald	eat	corn
man	hold	object
group	paddle	canoe
people	ski	slope
man	take	ride
man	slide	slope
all	eat	pizza
whose	pet	horse
that	catch	interest
she	hold	glass
that	separate	harbor
man	ski	hill
guy	play	guitar
desk	have	monitors
bench	have	grass
people	bring	boat
man	run	bases
woman	play	tennis
kitchen	have	fridge
bowl	hold	soup
people	fly	kites
person	hold	cd
game	take	place
fancy	color	toothbrush
that	have	table
table	have	pizza
group	eat	pizza
that	have	boxes
dog	examine	something
bus	drive	street
jets	fly	water
men	play	game
someone	hold	plate
plate	hold	portion
signs	proclaim	intersection
baby	have	hand
men	hold	awards
person	ride	horse
person	fill	jars
woman	lead	horse
drives	pass	station
men	play	baseball
men	carry	kite
man	walk	bike
sign	give	streets
train	stretch	track
skillet	contain	meat
child	brush	teeth
people	have	surfboards
door	reveal	toilet
boy	ride	skateboard
sign	have	letter
man	wear	light
man	take	photo
couple	play	baseball
person	ride	motorcycle
room	have	fireplace
we	see	horse
skateboarder	attempt	trick
wave	carry	surfer
people	fill	area
train	drive	tracks
images	show	table
man	perform	trick
woman	check	phone
that	give	directions
cows	graze	a
ducks	follow	mother
bathroom	have	tub
man	lace	boots
person	eat	pizza
that	read	othello
person	go	mountain
that	have	glasses
towel	cover	tv
that	read	animals
motorcycles	line	street
group	throw	frisbie
boy	pull	suitcase
horse	chew	ferns
kids	ride	surfboards
kitchen	have	chandelier
man	lift	weight
bikinis	ride	horses
woman	play	frisbee
one	hold	cake
that	have	sandwich
room	have	bed
people	use	rickshaws
people	board	it
person	ride	bike
surfer	ride	wave
legs	propel	her
men	drive	horses
pair	drive	highway
woman	have	smartphone
skateboarder	do	trick
horses	line	some
students	check	phones
woman	give	explanation
that	paint	markings
lady	pass	watermelon
people	cut	cake
someone	hold	bear
room	have	couch
skateboarder	turn	board
pair	play	games
boy	perform	stunt
child	hold	bowl
man	hold	bowl
girls	cook	beans
surfer	ride	wave
building	have	tower
bus	drive	street
cat	use	laptop
they	ski	it
people	ride	waves
man	take	video
person	hold	dog
woman	ride	wave
room	have	table
bear	hold	stick
guy	do	tricks
group	play	baseball
woman	play	game
man	play	guitar
photo	have	city
men	push	horse
man	unload	luggage
that	have	patterns
combination	showcase	types
guy	flip	skateboard
both	hold	umbrellas
bowl	have	broccoli
books	shelve	television
that	have	room
man	take	selfie
deck	have	plenty
bears	play	fight
man	hold	plate
man	hold	racket
giraffe	lower	head
boy	ride	horse
look	telegraphs	error
woman	take	photo
man	take	photo
riders	guide	horses
train	come	tracks
woman	play	game
who	catch	frizzebe
that	have	signs
one	cut	cake
snowboarder	go	slope
cat	wear	tie
woman	sell	fruit
man	hold	banana
bear	share	picture
woman	pick	sweets
photo	show	toilet
hand	hold	cover
player	swing	bat
who	sport	ribbon
who	ride	wave
group	fly	kites
chair	have	pillow
boy	pull	luguage
rain	cover	terrain
cat	sit	inside
bears	bite	other
person	spray	inside
person	brush	teeth
cat	catch	bird
man	slide	handrail
dog	stick	head
batter	take	swing
that	fly	kite
area	feature	mirror
man	hold	bat
egg	top	pizza
boy	ski	hill
dog	sniff	bat
zebra	eat	grass
men	ride	horses
chair	have	statue
people	drive	motorcycles
that	open	bottle
goats	eat	grass
man	throw	ball
pitcher	throw	baseball
someone	hold	veggie
city	have	buildings
boys	hold	frisbees
man	hold	dog
woman	hit	ball
