subject,predicate,object,image_id
man,wear,hat,93437
telephone,have,banana,12667
group,drive,tree,314251
man,enjoy,nap,223747
man,wear,hat,93437
dog,watch,television,482917
dog,watch,tv,482917
woman,take,selfie,561256
cat,catch,bird,46378
cat,devour,bird,46378
woman,take,photo,561256
custom,make,motorcycles,226662
cat,take,pose,255965
toddler,celebrate,birthday,117425
woman,hold,camera,561256
bowl,have,oranges,192871
giraffe,check,other,159977
truck,have,dog,65485
bathroom,have,sink,51598
that,have,garbage,51598
photo,eith,lock,492937
group,ride,street,314251
who,share,bathroom,393569
child,hold,spoon,117425
women,wash,motorcycles,177934
bathroom,feature,sink,570736
girls,wash,motorcycle,177934
cream,theme,bathroom,570736
some,cabinet,washer,552883
bathroom,have,walls,187513
train,have,door,210502
kitchen,have,chest,435880
man,eat,banana,173008
spectators,enjoy,show,204186
man,eat,banana,173008
man,take,bite,173008
we,see,horse,368335
people,ride,motorcycle,102411
closeup,have,fork,504711
man,herd,goats,181666
officer,lay,trap,230008
room,have,tables,543047
people,ride,motorcycle,102411
tram,make,way,86220
plane,leave,tail,485802
airplane,leave,contrail,485802
bathroom,have,look,489091
people,cross,street,412894
chamber,contain,devices,155154
bathroom,contain,toilet,62025
lot,feature,trees,152771
exhibit,feature,planes,71711
bathroom,have,mirror,62025
cat,meander,walkway,153217
photos,show,girls,163746
who,set,camp,571857
that,have,rack,147518
bus,have,seats,194832
man,take,picture,202228
bus,have,seats,194832
person,hold,spatula,243204
woman,carry,bunch,147740
tv,adorn,mirror,17379
apartment,have,belongings,368900
cat,drink,water,134096
that,have,wheels,441586
people,make,turns,214192
tiger,stripe,cat,163155
man,take,picture,202228
bathroom,have,trim,360564
that,cook,food,243204
that,paint,color,90631
airplane,make,way,98520
clock,read,11:44,267351
tower,feature,clock,267351
bathroom,have,sink,354072
bathroom,have,pattern,360564
jets,fly,water,1761
man,ride,motorcycle,553776
woman,brush,teeth,465179
man,ride,motorcycle,553776
men,ride,motorcycles,427338
helmet,ride,motorcycle,553776
woman,brush,teeth,465179
woman,brush,teeth,465179
man,blow,candles,211825
skateboarders,roll,slope,122217
man,hold,banana,58705
woman,pull,luggage,168337
plane,leave,trail,90631
floor,have,pattern,368940
room,have,tint,382734
woman,show,slice,139099
bathroom,contain,sink,542089
dog,use,mouth,170893
