man	wear	hat
telephone	have	banana
group	drive	tree
man	enjoy	nap
man	wear	hat
dog	watch	television
dog	watch	tv
woman	take	selfie
cat	catch	bird
cat	devour	bird
woman	take	photo
custom	make	motorcycles
cat	take	pose
toddler	celebrate	birthday
woman	hold	camera
bowl	have	oranges
giraffe	check	other
truck	have	dog
bathroom	have	sink
that	have	garbage
photo	eith	lock
group	ride	street
who	share	bathroom
child	hold	spoon
women	wash	motorcycles
bathroom	feature	sink
girls	wash	motorcycle
cream	theme	bathroom
some	cabinet	washer
bathroom	have	walls
train	have	door
kitchen	have	chest
man	eat	banana
spectators	enjoy	show
man	eat	banana
man	take	bite
we	see	horse
people	ride	motorcycle
closeup	have	fork
man	herd	goats
officer	lay	trap
room	have	tables
people	ride	motorcycle
tram	make	way
plane	leave	tail
airplane	leave	contrail
bathroom	have	look
people	cross	street
chamber	contain	devices
bathroom	contain	toilet
lot	feature	trees
exhibit	feature	planes
bathroom	have	mirror
cat	meander	walkway
photos	show	girls
who	set	camp
that	have	rack
bus	have	seats
man	take	picture
bus	have	seats
person	hold	spatula
woman	carry	bunch
tv	adorn	mirror
apartment	have	belongings
cat	drink	water
that	have	wheels
people	make	turns
tiger	stripe	cat
man	take	picture
bathroom	have	trim
that	cook	food
that	paint	color
airplane	make	way
clock	read	11:44
tower	feature	clock
bathroom	have	sink
bathroom	have	pattern
jets	fly	water
man	ride	motorcycle
woman	brush	teeth
man	ride	motorcycle
men	ride	motorcycles
helmet	ride	motorcycle
woman	brush	teeth
woman	brush	teeth
man	blow	candles
skateboarders	roll	slope
man	hold	banana
woman	pull	luggage
plane	leave	trail
floor	have	pattern
room	have	tint
woman	show	slice
bathroom	contain	sink
dog	use	mouth
man	hold	frisbee
buildings	cover	area
person	rest	head
collage	show	car
that	cook	food
pedestrian	cross	street
that	have	monitors
man	prepare	food
church	glass	window
bicyclist	perform	wheelie
bathroom	have	toilet
man	smile	sitting
man	balance	bicycle
that	have	trees
person	cross	street
that	have	trees
man	tie	food
bathroom	have	curtain
contestant	catch	sheep
motorcycles	line	street
woman	put	shopping
someone	drive	cart
person	drive	motorcycle
area	feature	shelving
woman	check	motorcycle
boy	cut	cake
man	race	horse
who	wear	suits
who	ride	motorcycle
area	feature	window
person	ride	motorcycle
bathroom	have	walls
vendor	sell	food
person	ride	motorcycle
couple	prepare	food
woman	leave	building
woman	sell	fruit
that	have	tomatoes
room	feature	cabinets
person	cook	eggs
bathroom	have	walls
woman	wear	wetsuit
island	have	sink
that	have	lunch
woman	make	eggs
lady	prepare	pancakes
cleaners	take	rest
dog	wear	helmet
dog	cut	piece
man	slice	meat
bus	make	turn
bus	make	way
kitchen	have	cabinets
owner	cut	meat
person	spray	inside
man	ride	motorcycle
bathroom	have	pattern
man	spray	toilet
bathroom	show	sink
bathroom	sing	counter
look	herd	sheep
dog	stick	head
man	have	look
someone	demonstrate	works
that	have	tv
mirror	show	dog
kitchen	have	refrigerator
which	include	bidet
which	overlook	water
bathroom	have	seat
wow	pare	some
woman	take	photo
women	take	picture
man	hold	bunch
toilet	paint	red
light	have	faces
motorcycle	chip	doors
that	hit	pole
area	feature	refrigerator
bathroom	have	sinks
kitchen	have	lot
mug	show	skull
streetlights	light	night
people	take	look
girl	eat	banana
group	ride	motocycles
clock	keep	time
monitor	have	picture
it	use	cleaning
clock	have	face
mouse	cord	wires
woman	teach	class
kitchen	have	table
kitchen	have	chandelier
that	ride	motorcycle
people	purchase	tickets
people	serve	food
people	have	plate
nman	pick	food
that	have	floor
that	carpet	floors
toaster	have	eyes
kitchen	have	refrigerator
group	paddle	boat
person	stand	steering
airplane	do	tricks
airplane	let	smoke
biplane	leave	trail
bathroom	have	seat
utensils	line	sink
kid	jump	hill
kitchen	have	cabinets
